DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,"Percent Satisfaction:
Instructional Core","Percent Satisfaction:
Systems for Improvement",Percent Satisfaction: School Culture
31R034,I.S. 034 Tottenville,97%,100%,99%,84%,86%,85%
31R035,P.S. 35 The Clove Valley School,81%,91%, ,95%,92%,94%
31R036,P.S. 036 J. C. Drumgoole,58%,82%, ,86%,80%,86%
31R038,P.S. 038 George Cromwell,100%,71%, ,94%,92%,93%
31R039,P.S. 39 Francis J. Murphy Jr.,43%,97%, ,97%,94%,93%
31R041,P.S. 041 New Dorp,70%,69%, ,87%,81%,88%
31R042,P.S. 042 Eltingville,66%,97%, ,94%,92%,95%
31R044,P.S. 044 Thomas C. Brown,70%,68%, ,94%,90%,91%
31R045,P.S. 045 John Tyler,62%,93%, ,92%,88%,87%
31R046,P.S. 046 Albert V. Maniscalco,86%,100%, ,98%,95%,96%
31R047,CSI High School for International Studies,66%,81%,94%,88%,85%,91%
31R048,P.S. 048 William C. Wilcox,74%,83%,95%,91%,91%,93%
31R049,I.S. 49 Berta A. Dreyfus,25%,75%,91%,84%,79%,77%
31R050,P.S. 050 Frank Hankinson,63%,98%, ,95%,92%,95%
31R051,I.S. 051 Edwin Markham,25%,93%,93%,85%,84%,79%
31R052,P.S. 052 John C. Thompson,81%,98%, ,90%,87%,90%
31R053,P.S. 053 Bay Terrace,80%,94%, ,98%,98%,98%
31R054,P.S. 054 Charles W. Leng,72%,98%, ,93%,85%,91%
31R055,P.S. 055 Henry M. Boehm,79%,91%, ,92%,89%,91%
31R056,P.S. 56 The Louis Desario School,96%,100%, ,91%,87%,92%
31R057,P.S. 057 Hubert H. Humphrey,53%,51%, ,91%,89%,88%
31R058,Space Shuttle Columbia School,100%,98%, ,96%,94%,95%
31R059,The Harbor View School,84%,100%, ,96%,94%,96%
31R060,P.S. 060 Alice Austen,71%,92%, ,92%,88%,92%
31R061,I.S. 061 William A Morris,47%,97%,97%,87%,83%,77%
31R063,Marsh Avenue School for Expeditionary Learning,74%,53%,85%,90%,89%,92%
31R064,Gaynor McCown Expeditionary Learning School,42%,91%,93%,88%,80%,89%
31R065,P.S. 65 The Academy of Innovative Learning,69%,65%, ,98%,96%,97%
31R069,P.S. 069 Daniel D. Tompkins,94%,100%, ,95%,94%,94%
31R072,I.S. 072 Rocco Laurie,84%,98%,97%,90%,90%,88%
31R074,P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL,86%,88%, ,91%,88%,85%
31R075,I.S. 075 Frank D. Paulo,80%,100%,94%,92%,91%,90%
31R078,PS 78,52%,63%, ,94%,90%,89%
31R080,The Michael J. Petrides School,44%,89%,97%,91%,91%,89%
31R440,New Dorp High School,33%,100%,85%,87%,89%,85%
31R445,Port Richmond High School,28%,98%,74%,90%,89%,88%
31R450,Curtis High School,47%,89%,85%,84%,87%,80%
31R455,Tottenville High School,27%,86%,82%,86%,88%,83%
31R460,Susan E. Wagner High School,40%,95%,80%,88%,88%,86%
31R470,Concord High School,34%,79%,76%,94%,91%,94%
31R600,Ralph R. McKee Career and Technical Education High School,34%,100%,88%,87%,86%,85%
31R605,Staten Island Technical High School,96%,100%,99%,94%,95%,96%
31R607,Staten Island Yabc,6%,95%,68%,92%,91%,92%
31R861,Staten Island School of Civic Leadership,62%,88%,97%,92%,88%,88%
32K045,P.S. 045 Horace E. Greene,86%,88%,97%,96%,95%,94%
32K075,P.S. 075 Mayda Cortiella,47%,79%, ,94%,88%,90%
32K086,P.S. 086 The Irvington,94%,97%, ,97%,97%,96%
32K106,P.S. 106 Edward Everett Hale,59%,77%, ,95%,93%,94%
32K116,P.S. 116 Elizabeth L Farrell,73%,85%, ,93%,93%,94%
32K123,P.S. 123 Suydam,67%,90%, ,92%,88%,90%
32K145,P.S. 145 Andrew Jackson,79%,96%, ,84%,80%,86%
32K151,P.S. 151 Lyndon B. Johnson,67%,79%, ,94%,89%,91%
32K162,J.H.S. 162 The Willoughby,46%,85%,90%,85%,84%,83%
32K168,The Brooklyn School for Math and Research,49%,100%,86%,87%,88%,85%
32K274,P.S. 274 Kosciusko,56%,100%, ,94%,89%,92%
32K291,J.H.S. 291 Roland Hayes,58%,98%,93%,88%,90%,84%
32K296,I.S. 296 - The Anna Gonzalez Community School,28%,100%,90%,90%,88%,83%
32K299,P.S. 299 Thomas Warren Field,100%,96%, ,93%,92%,93%
32K347,I.S. 347 School of Humanities,39%,80%,91%,89%,86%,84%
32K349,"I.S. 349 Math, Science & Tech.",60%,77%,83%,87%,88%,85%
32K376,P.S. 376,74%,91%, ,97%,95%,95%
32K377,P.S. 377 Alejandrina B. De Gautier,75%,60%,99%,88%,82%,83%
32K383,J.H.S. 383 Philippa Schuyler,35%,83%,88%,86%,81%,84%
32K384,P.S. /I.S. 384 Frances E. Carter,85%,100%,97%,93%,91%,90%
32K403,Academy for Environmental Leadership,83%,90%,93%,88%,82%,83%
32K545,EBC High School for Public Service - Bushwick,45%,82%,92%,91%,87%,89%
32K549,Bushwick School for Social Justice,40%,100%,71%,92%,91%,89%
32K554,All City Leadership Secondary School,47%,100%,92%,98%,98%,97%
32K556,Bushwick Leaders High School for Academic Excellence,36%,68%,82%,91%,88%,89%
32K562,Evergreen Middle School for Urban Exploration,77%,92%,87%,86%,86%,87%
32K564,Bushwick Community High School,41%,95%,70%,97%,97%,96%
84K037,Beginning with Children Charter School II,67%,85%, ,100%,98%,96%
84K125,Success Academy Charter School - Bed-Stuy 2,19%,57%, ,95%,92%,94%
84K129,Success Academy Charter School - Cobble Hill,45%,100%, ,95%,94%,96%
84K182,Success Academy Charter School - Williamsburg,70%,100%, ,99%,99%,98%
84K333,Explore Exceed Charter School,94%,96%, ,90%,90%,94%
84K355,Williamsburg Collegiate Charter School,79%,93%,79%,95%,95%,95%
84K356,Achievement First Crown Heights Charter School,49%,49%,96%,88%,84%,88%
84K357,KIPP AMP Charter School,53%,56%,95%,81%,72%,81%
84K358,Achievement First East New York Charter School,38%,59%,83%,91%,86%,91%
84K359,The Uft Charter School,21%,26%,45%,77%,71%,78%
84K360,LAUNCH EXPEDITIONARY LEARNING CHARTER SCHOOL,68%,94%,91%,85%,88%,84%
84K362,Hellenic Classical Charter School,71%,94%,99%,96%,97%,96%
84K367,Success Academy Charter School - Bed-Stuy 1,26%,87%, ,90%,91%,93%
84K379,Explore Excel Charter School,67%,21%, ,82%,84%,86%
84K386,Invictus Preparatory Charter School,61%,75%,96%,82%,76%,82%
84K395,Roads Charter School I,15%,36%,47%,78%,73%,77%
84K406,Teaching Firms of America-Professional Preparatory Charter School,68%,71%, ,91%,91%,92%
84K417,Urban Dove Charter School,8%,100%,39%,88%,85%,86%
84K473,Williamsburg Charter High School,56%,99%,94%,92%,93%,91%
84K486,New Dawn Charter High School,52%,81%,56%,81%,81%,81%
84K508,Achievement First Endeavor Charter School,40%,73%,93%,85%,83%,87%
84K517,Leadership Prep Bedford Stuyvesant Charter School,36%,90%,89%,91%,89%,89%
84K536,Community Roots Charter School,70%,79%,88%,91%,91%,90%
84K538,Achievement First Bushwick Charter School,30%,69%,87%,93%,89%,93%
84K593,Excellence Boys Charter School,70%,93%,85%,83%,81%,86%
84K608,Kings Collegiate Charter School,90%,100%,90%,96%,96%,95%
84K626,Achievement First Brownsville Charter School,42%,100%,89%,90%,86%,88%
84K648,Bedford Stuyvesant Collegiate Charter School,55%,96%,95%,94%,95%,93%
84K649,La Cima Charter School,99%,90%, ,91%,88%,92%
84K651,PAVE Academy Charter School,92%,100%,93%,86%,83%,87%
84K652,Brooklyn Ascend Charter School,70%,98%,99%,83%,81%,84%
84K680,Achievement First Aspire Charter School,41%,20%, ,97%,95%,94%
84K689,Citizens of the World Charter School 1,55%,78%, ,99%,98%,95%
84K692,Citizens of the World Charter School 2,50%,100%, ,92%,91%,88%
84K693,Northside Charter High School,58%,89%,94%,91%,89%,91%
84K701,Brooklyn Charter School,70%,84%, ,90%,86%,87%
84K702,Community Partnership Charter School,87%,98%,92%,84%,81%,85%
84K703,Beginning With Children Charter School,65%,63%,89%,87%,86%,83%
84K704,Explore Charter School,89%,92%,95%,82%,78%,83%
84K707,Brooklyn Prospect Charter School,44%,94%,87%,85%,86%,88%
84K710,Brownsville Collegiate Charter School,63%,100%,94%,90%,87%,88%
84K711,Leadership Preparatory Brownsville Charter School,77%,100%, ,89%,83%,90%
84K712,Excellence Girls Charter School,69%,95%, ,93%,89%,94%
84K724,Leadership Prep Canarsie Charter School (Leadership Prep CS 4),91%,92%, ,97%,98%,97%
84K726,Fahari Academy Charter School,74%,95%,96%,90%,86%,83%
84K730,Summit Academy Charter School,67%,62%,84%,83%,74%,83%
84K731,Brooklyn Excelsior Charter School,44%,98%,97%,84%,84%,80%
84K733,"Math, Engineering, and Science Academy Charter High School",52%,91%,98%,97%,89%,94%
84K734,The Ethical Community Charter School (TECCS),54%,94%, ,87%,84%,86%
84K736,New American Academy Charter School,83%,89%, ,93%,91%,95%
84K737,Brownsville Ascend Charter School,75%,98%, ,89%,88%,90%
84K738,New Visions Charter High School for Advanced Math and Science III,83%,100%,98%,85%,82%,82%
84K739,New Visions Charter High School for the Humanities III,27%,92%,91%,87%,82%,84%
84K740,Brooklyn Scholars Charter School,62%,97%,100%,85%,84%,83%
84K741,Success Academy Crown Heights (Brooklyn 7),35%,91%, ,97%,95%,93%
84K742,Explore Empower Charter School,86%,97%,93%,82%,79%,82%
84K744,Coney Island Preparatory Public Charter School,70%,100%,80%,91%,90%,91%
84K746,Hebrew Language Academy Charter School,93%,90%, ,93%,89%,91%
84K752,Success Academy Fort Greene (Brooklyn 5),42%,57%, ,91%,94%,95%
84K756,Success Academy Prospect Heights (Brooklyn 6),37%,84%, ,98%,96%,96%
84K757,Unity Prep Charter School,89%,100%,96%,90%,92%,91%
84K758,Brooklyn Urban Garden Charter School,46%,88%,95%,84%,80%,79%
84K759,CANARSIE ASCEND CHARTER SCHOOL,65%,100%, ,91%,83%,87%
84K769,Hyde Leadership Charter School- Brooklyn,73%,97%, ,91%,89%,91%
84K774,Achievement First Apollo Charter School,57%,100%, ,88%,88%,91%
84K775,Leadership Preparatory Ocean Hill Charter School,67%,100%, ,99%,98%,99%
84K777,Ocean Hill Collegiate Charter School,40%,79%,100%,93%,90%,95%
84K780,Brooklyn East Collegiate Charter School,64%,96%,91%,91%,90%,91%
84K782,Bedford Stuyvesant New Beginnings Charter School,51%,79%, ,86%,82%,85%
84K785,Imagine Me Leadership Charter School,42%,83%, ,92%,87%,91%
84K791,Brooklyn Dreams Charter School,18%, , ,83%,85%,90%
84K792,The Cultural Arts Academy at Spring Creek Charter School,91%,100%, ,93%,86%,89%
84K793,Bushwick Ascend Charter School,63%,92%, ,78%,75%,85%
84K796,Lefferts Gardens Charter School,67%,89%, ,88%,86%,88%
84K797,New Hope Academy Charter School,58%,63%, ,86%,80%,90%
84K888,Achievement First High School,18%,32%,53%,86%,82%,88%
84K979,Uncommmon Charter HS 2,75%,100%,93%,94%,89%,92%
84K989,Achievement First University Prep,39%,63%,79%,95%,86%,96%
84K999,Uncommon Charter HS,57%,100%,96%,91%,92%,93%
84M065,Democracy Prep Endurance Charter School,83%,100%,96%,95%,95%,95%
84M068,KIPP Washington Heights Middle School,82%,75%,91%,97%,94%,96%
84M080,Manhattan Charter School II,71%,75%, ,95%,85%,92%
84M085,Global Community Charter School,40%,38%, ,93%,91%,93%
84M100,Neighborhood Charter School of Harlem,90%,67%, ,99%,98%,98%
84M168,East Harlem Scholars Academy Charter School II,99%,100%, ,99%,96%,96%
84M170,Success Academy Hell's Kitchen (Manhattan 2),52%,100%, ,92%,96%,96%
84M174,Success Academy Union Square (Manhattan 1),48%,50%, ,99%,98%,98%
84M186,Harlem Hebrew Language Charter School,78%,93%, ,95%,89%,94%
84M202,Great Oaks Charter School,38%,80%, ,99%,97%,96%
84M279,The Opportunity Charter School,56%,88%,92%,71%,71%,73%
84M284,Harlem Children's Zone Promise Academy 1 Charter School,64%,82%,71%,85%,84%,85%
84M320,Manhattan Charter School,89%,100%, ,98%,95%,97%
84M329,Harlem Link Charter School,62%,93%, ,88%,78%,89%
84M330,Girls Preparatory Charter School of New York,87%,94%,93%,89%,88%,91%
84M335,Harlem Village Academy Leadership Charter School,79%,81%,96%,91%,91%,91%
84M336,KIPP Infinity Charter School,78%,70%,97%,93%,93%,93%
84M337,New York Center for Autism Charter School,86%,100%, ,97%,91%,95%
84M341,Harlem Children's Zone Promise Academy II Charter School,93%,100%,99%,86%,85%,85%
84M350,Democracy Prep Charter School,72%,86%,80%,92%,90%,91%
84M351,Success Academy Charter School - Harlem 1,33%,47%,68%,91%,86%,90%
84M353,New Heights Academy Charter School,65%,93%,86%,84%,78%,85%
84M382,DREAM Charter School,83%,73%,94%,86%,81%,82%
84M384,Success Academy Charter School - Harlem 2,20%,17%, ,90%,88%,91%
84M385,Success Academy Charter School - Harlem 3,25%,93%,14%,94%,94%,94%
84M386,Success Academy Charter School - Harlem 4,36%,83%,74%,96%,94%,95%
84M388,St. HOPE Leadership Academy Charter School,100%,94%,97%,93%,92%,92%
84M430,The Equity Project Charter School (TEP),90%,97%,95%,92%,94%,92%
84M433,Renaissance Charter High School for Innovation,24%,100%,84%,82%,81%,81%
84M478,Inwood Academy for Leadership Charter School,82%,92%,96%,92%,89%,90%
84M481,Democracy Prep Harlem Charter School,65%,100%,95%,86%,82%,87%
84M482,Success Academy Charter School - Harlem 5,35%,58%, ,98%,95%,97%
84M483,New York French American Charter School,63%,70%, ,88%,81%,87%
84M518,East Harlem Scholars Academy Charter School,78%,58%, ,94%,88%,89%
84M522,Broome Street Academy Charter School,25%,100%,70%,83%,77%,80%
84M523,Success Academy Charter School - Upper West,50%,94%, ,97%,95%,97%
84M524,Innovate Manhattan Charter School,14%,6%,8%,78%,79%,81%
84M702,Sisulu-Walker Charter School of Harlem,59%,89%, ,93%,90%,92%
84M704,Harbor Science and Arts Charter School,47%,74%,86%,96%,93%,96%
84M705,Amber Charter School,99%,95%, ,98%,97%,96%
84M707,John V. Lindsay Wildcat Academy Charter School,56%,82%,49%,98%,95%,95%
84M708,Harlem Prep Charter School,68%,98%,94%,83%,79%,85%
84M709,Harlem Village Academy Charter School,84%,86%,99%,88%,83%,86%
84M726,KIPP STAR College Prep Charter School,32%,31%,87%,81%,78%,83%
84M861,Future Leaders Institute Charter School,54%,95%,98%,92%,88%,90%
84M888,Harlem Village Academy HS,50%,95%,89%,85%,88%,83%
84M999,KIPP NYC College Prep,47%,75%,69%,95%,95%,94%
84Q083,Central Queens Academy Charter School,100%,100%,100%,88%,77%,87%
84Q170,Peninsula Preparatory Academy Charter School,100%,77%, ,93%,92%,95%
84Q298,Middle Village Prep Charter School,46%,100%,97%,97%,96%,95%
84Q304,VOICE Charter School of New York,69%,97%,97%,86%,78%,87%
84Q321,Growing Up Green Charter School,68%,95%, ,94%,92%,97%
84Q340,Challenge Preparatory Charter School,80%,86%, ,96%,91%,94%
84Q341,Riverton Street Charter School,61%,58%,100%,96%,96%,96%
84Q342,Rochdale Early Advantage Charter School,96%,100%, ,96%,94%,94%
84Q359,Academy of the City Charter School,48%,92%, ,92%,90%,91%
84Q704,Merrick Academy - Queens Public Charter School,29%,80%, ,90%,83%,87%
84Q705,Renaissance Charter School,62%,94%,98%,80%,80%,84%
84Q706,Our World Neighborhood Charter School,75%,93%,99%,90%,89%,89%
84R067,John W. Lavelle Preparatory Charter School,73%,98%,95%,90%,85%,86%
84R071,Staten Island Community Charter School,91%,100%, ,87%,82%,85%
84R073,New World Preparatory Charter School,82%,100%,100%,92%,92%,87%
84X124,Children’s Aid College Prep Charter School,85%,50%, ,95%,95%,95%
84X133,Icahn Charter School 6,94%,100%, ,99%,98%,97%
84X165,Grand Concourse Charter School,90%,97%, ,96%,95%,97%
84X177,Mott Hall Charter School,60%,88%,97%,74%,71%,75%
84X185,Bronx Lighthouse Charter School,57%,100%,82%,85%,79%,85%
84X200,ROADS Charter School II,13%,54%,34%,86%,85%,81%
84X202,New Visions Charter High School for Advanced Math and Science II,88%,86%,83%,93%,90%,90%
84X208,New Visions Charter High School for the Humanities II,24%,45%,67%,86%,84%,85%
84X233,Family Life Academy Charter School II,82%,50%, ,96%,84%,92%
84X255,Bronx Charter School for Excellence,100%,100%,100%,91%,90%,90%
84X256,Heketi Community Charter School,94%,50%, ,98%,96%,97%
84X258,Tech International Charter School,25%,92%,95%,72%,68%,77%
84X309,South Bronx Charter School for International Cultures and the Arts,98%,100%, ,96%,93%,95%
84X345,Hyde Leadership Charter School,52%,93%,95%,85%,83%,85%
84X346,South Bronx Classical Charter School,100%,100%,100%,92%,84%,92%
84X347,International Leadership Charter High School,74%,96%,69%,84%,74%,85%
84X362,Icahn Charter School 7,96%,100%, ,98%,95%,95%
84X364,South Bronx Classical Charter School II,99%,100%, ,76%,82%,88%
84X378,Icahn Charter School 2,62%,92%, ,97%,94%,95%
84X380,Success Academy Charter School - Bronx 3,45%,63%, ,94%,91%,93%
84X387,Brilla College Prep Charter School,97%,100%, ,97%,94%,97%
84X389,Bronx Global Learning Institute for Girls Charter School,87%,84%,100%,88%,81%,85%
84X393,University Prep Charter High School,53%,91%,94%,94%,93%,94%
84X394,Mott Haven Academy Charter School,100%,91%, ,92%,89%,93%
84X395,"NYC Charter High School for Architecture, Engineering and Construction Industries (AECI)",70%,100%,93%,88%,87%,87%
84X398,Bronx Community Charter School,84%,100%, ,96%,96%,96%
84X407,Bronx Charter School for Children,40%,73%, ,95%,88%,93%
84X419,Bronx Academy of Promise Charter School,84%,98%,99%,95%,92%,95%
84X422,Icahn Charter School 3,51%,96%,98%,91%,87%,86%
84X461,Metropolitan Lighthouse Charter School,75%,100%, ,86%,81%,89%
84X482,Dr. Richard Izquierdo Health and Science Charter School,79%,100%,97%,89%,83%,86%
84X487,Girls Preparatory Charter School of the Bronx,82%,100%, ,98%,94%,97%
84X488,The Equality Charter School,99%,100%,97%,92%,90%,89%
84X491,Academic Leadership Charter School,91%,100%, ,88%,88%,92%
84X493,Success Academy Charter School - Bronx 1,44%,86%, ,98%,98%,98%
84X494,Success Academy Charter School - Bronx 2,52%,85%, ,97%,94%,95%
84X496,Icahn Charter School 4,80%,100%,94%,99%,99%,97%
84X538,Icahn Charter School 5,51%,100%, ,92%,91%,96%
84X539,New Visions Charter High School for Advanced Math and Science,66%,100%,89%,90%,89%,88%
84X553,New Visions Charter High School for the Humanities,56%,84%,64%,80%,77%,76%
84X554,New York City Montessori Charter School,59%,68%, ,90%,83%,88%
84X703,Bronx Preparatory Charter School,65%,75%,90%,75%,77%,80%
84X704,KIPP Academy Charter School,55%,51%,96%,90%,83%,90%
84X705,Family Life Academy Charter School,94%,97%,100%,95%,95%,96%
84X706,Harriet Tubman Charter School,80%,97%,96%,93%,91%,90%
84X717,Icahn Charter School,77%,100%,98%,85%,80%,85%
84X718,Bronx Charter School for Better Learning,70%,95%, ,96%,94%,96%
84X730,Bronx Charter School for the Arts,81%,100%, ,89%,89%,91%
75K004,P.S. K004,57%,69%, ,86%,87%,89%
75K036,P.S. 36,67%,56%,90%,94%,92%,89%
75K053,P.S. K053,65%,86%,99%,96%,93%,94%
75K077,P.S. K077,37%,48%,97%,92%,89%,91%
75K140,P.S. K140,50%,61%,90%,90%,88%,83%
75K141,P.S. K141,43%,48%,32%,84%,74%,83%
75K231,P.S. K231,51%,62%,92%,95%,92%,94%
75K368,P.S. 368,24%,79%,75%,92%,89%,87%
75K369,P.S. K369 - Coy L. Cox School,33%,64%,84%,91%,89%,88%
75K370,P.S. 370,40%,88%,77%,93%,89%,91%
75K371,P.S. 371 - Lillian L. Rashkis,52%,71%,69%,91%,87%,86%
75K372,P.S. 372 -The Children's School,38%,40%, ,94%,93%,96%
75K373,P.S. 373 - Brooklyn Transition Center,39%,53%,99%,93%,90%,91%
75K396,P.S. K396,24%,43%, ,92%,90%,90%
75K721,P.S. K721 - Brooklyn Occupational Training Center,23%,74%,100%,94%,94%,93%
75K753,P.S. K753 - School for Career Development,40%,79%,75%,93%,92%,88%
75K771,P.S. K771,53%,74%,94%,93%,89%,91%
75K811,P.S. K811 Connie Lekas School,32%,36%,96%,95%,95%,94%
75M035,P.S. 035,3%,55%,29%,80%,74%,73%
75M079,P.S. M079 - Horan School,24%,37%,96%,90%,83%,86%
75M094,P.S. M094,42%,52%,83%,89%,87%,90%
75M138,P.S. 138,22%,71%,39%,92%,86%,89%
75M169,P.S. M169 - Robert F. Kennedy,77%,60%,98%,92%,92%,90%
75M226,P.S. M226,40%,69%,100%,93%,90%,92%
75M721,P.S. M721 - Manhattan Occupational Training Center,58%,59%,99%,90%,88%,92%
75M751,Manhattan School for Career Development,40%,100%,92%,94%,92%,92%
75M811,P.S. M811 - Mickey Mantle School,31%,43%,88%,97%,94%,95%
75Q004,P.S. Q004,67%,95%,95%,97%,94%,92%
75Q009,P.S. 009,24%,49%,83%,85%,80%,82%
75Q023,P.S. Q023 @ Queens Children Center,22%,56%,60%,88%,83%,85%
75Q075,Robert E. Peary School,28%,47%,88%,91%,86%,89%
75Q177,P.S. Q177,37%,73%,100%,97%,96%,96%
75Q224,P.S. Q224,63%,89%,92%,94%,90%,92%
75Q233,P.S. Q233,32%,77%,97%,95%,94%,95%
75Q255,P.S. Q255,55%,57%,89%,95%,94%,94%
75Q256,P.S. Q256,59%,77%,83%,93%,90%,89%
75Q277,The Riverview School,56%,96%,45%,92%,90%,93%
75Q721,John F. Kennedy Jr. School,51%,71%,97%,93%,91%,93%
75Q752,Queens Transition Center,16%,58%,82%,81%,77%,77%
75Q811,P.S. Q811,24%,76%,95%,94%,92%,93%
75Q993,P.S. Q993,43%,79%,94%,94%,93%,93%
75R025,South Richmond High School I.S./P.S. 25,30%,64%,75%,94%,89%,89%
75R037,P.S. R037,46%,64%,94%,87%,87%,91%
75R373,P.S. R373,40%,64%,91%,96%,92%,94%
75R721,THE RICHARD H. HUNGERFORD SCHOOL,64%,96%,100%,99%,98%,97%
75X010,P.S. X010,55%,88%,78%,96%,93%,93%
75X012,P.S. X012 Lewis and Clark School,32%,26%,81%,86%,80%,84%
75X017,P.S. X017,64%,83%,73%,88%,81%,83%
75X168,P.S. 168,31%,57%,61%,88%,84%,85%
75X176,P.S. X176,22%,55%,95%,90%,86%,89%
75X186,P186X Walter J. Damrosch School,30%,36%,81%,96%,95%,93%
75X188,P.S. X188,38%,72%,94%,89%,84%,89%
75X352,The Vida Bogart School for All Children,41%,73%,89%,93%,90%,88%
75X721,P.S. X721 - Stephen McSweeney School,41%,67%,97%,93%,92%,91%
75X723,P.S. 723,25%,52%,68%,90%,87%,86%
75X754,J. M. Rapport School Career Development,38%,56%,66%,87%,83%,78%
75X811,P.S. X811,33%,59%,94%,93%,91%,91%
